Gene	Category	H2171.DMSO.18.R1.0	H2171.DMSO.18.R2.0	H2171.DMSO.18.R3.0	H2171.Plasmid.0.R1.0	H2171.PRMT5.18.R1.0	H2171.PRMT5.18.R2.0	H2171.PRMT5.18.R3.0
TDRD7	Other	-0.0131407405485683	0.198145571724965	0.152773153917035	0.0252045713543596	0.02746667237207	0.0305866788808384	0.0065404859730874
TDRD9	Other	0.0931427152408525	0.38827603578783	0.497959801580803	0.290180684548763	0.277717965733022	0.396927389422444	0.404202747511582
TDRKH	Other	-0.043314520061931	-0.115269537076235	-0.325426987490124	-0.0311631796070958	0.135137363676782	-0.100326465438236	-0.139925407143791
TERT	Other	-0.125258976501134	-0.440611073985367	-0.291465522079651	-0.123517774137301	-0.248452911301618	-0.267250568509065	-0.219133679549586
TESK2	Other	0.6357935512897	0.560823917073855	0.648694701491911	0.546975999642788	0.759313559577755	0.629091778939877	0.597169591337166
TET1	Other	0.0673841780139507	0.0428897237456224	0.11757212026498	-0.272716000133328	-0.142595552155241	0.0174741856871476	0.0780027320749172
TET2	Other	-0.376967817490703	-0.381878468307041	-0.311931253261853	-0.580608347198058	-0.183354789966442	-0.145274925910953	-0.495815612939773
TET3	Other	0.113832826056712	0.0617243275296689	-0.0489419763005266	0.00204173655263952	-0.0190374007499461	-0.145309124364685	-0.0546519855789056
TLK1	Other	0.115943246663762	0.132804131601244	0.0422298808668082	-0.0187970630746751	0.0962952464619019	0.0837295347861908	0.284213537093726
TLK2	Other	-0.406213490352736	-0.432082095209713	-0.387398517548982	0.0588312190414889	-0.328792322863211	-0.397327938122742	-0.478204746949128
TNFAIP3	Other	-0.101085666870768	0.294013202738552	-0.243083325107868	-0.154790060713715	-0.116428439696091	0.150376546004805	0.0699229522621359
TOPORS	Other	0.168481597453074	-0.101592091205126	0.199620526799584	0.0711116528699127	0.157527884165778	0.355284334813572	0.116181863623311
TP53	Other	0.0959978721177168	0.272813628590416	0.0606598167509644	-0.00657233199787617	0.256062872580529	0.264349175025362	-0.0532875328058607
TP53BP1	Other	0.09365106837251	0.117274880666135	0.0583473891024135	0.419586548779226	0.033933196172632	0.246633904393447	0.234473699317557
TP53RK	Other	0.639164961031892	0.485422696140753	0.354039844002161	0.421267348696833	0.49282766952523	0.484103786491606	0.498349312526186
TP63	Other	-0.101752494865347	0.0481173616532121	-0.0308956152365282	-0.0994004827733412	0.160836099204593	0.112019413445292	0.123423535516234
TP73	Other	0.659673259048823	0.584776917861751	0.581129394428031	0.134164667609693	0.959790201405269	0.665209544876639	0.795211145091297
TRAF6	Other	0.217314416651892	0.0802526213654665	0.191094698313896	0.0876760935707736	0.0329136294529232	0.169899302497323	0.147634911999362
TRAF7	Other	-0.0131609199433527	-0.0531272303907048	0.262223622517502	0.148926157687012	-0.294513117708636	-0.141602654259638	0.0543261192264679
TRIB3	Other	0.240539313778934	0.386619868590348	0.15807104074557	0.229533513652103	0.191844180208393	0.466693005849041	0.207443039518855
TRIM16	Other	0.291117078393571	0.474073511899082	0.370050438919105	0.160091988716952	0.280442043940848	0.197352052988772	0.351807379139104
TRIM23	Other	0.568022139925476	0.445001792781557	0.511701188175693	0.276133287031322	0.299588017193549	0.299590406997235	0.480897708349554
TRIM24	Other	-0.0354374999174286	-0.224609045198407	-0.207154470207717	-0.425731671130257	-0.256492080096673	-0.0412552479444361	-0.0741927827570663
TRIM27	Other	0.171149389580811	0.0392804293486791	-0.0700342007629763	-0.10232215833441	0.232082055239652	0.0753084106215762	-0.171123687310119
TRIM28	Other	0.965433852703817	0.87681572461011	0.819144815081119	0.385628217595479	0.894014294401581	0.747700685347934	0.877539455205693
TRIM33	Other	0.254049130619448	0.193364338148983	0.196885242684541	-0.0484368818736917	0.20317463736646	0.363646087883263	0.234891740948378
TRIM63	Other	0.28599315609366	0.314864257480401	0.254627543497842	0.248536447740446	0.169555029323936	0.392379294539478	0.384769624048427
TRIM66	Other	-0.0930406527376956	-0.235793896853414	-0.120175228178305	-0.092709457169762	-0.246958721744617	-0.0342079986122672	-0.268314925381489
TRMT44	Other	0.504732297606144	0.692735942787472	0.710019851090738	0.562538518587621	0.624570376393104	0.708038813034413	0.765265952183652
TRRAP	Other	-0.684921453074701	-0.666959815416791	-0.727609069204443	0.0751001825737941	-0.460136689521892	-0.548433655412735	-0.633773751493073
TSC1	Other	0.0613518875419965	0.488710057648431	0.258736904882742	0.103375716064885	0.356289972516965	0.302606444103745	0.10071880663899
TSC2	Other	-0.431233363576383	-0.11286884466142	-0.0715898001416907	0.126904656326143	0.00120047916670716	-0.249954086918634	-0.192840185216802
TSSK6	Other	0.558379193016011	0.433167691923357	0.564873012746539	0.583420337313319	0.262905238680325	0.495363367176252	0.608964987827063
TUBB	Other	0.358082684143447	0.321193178838418	0.191216867116563	0.543782015001292	0.0800497864619075	0.0588406505671754	0.237522073423055
TUBGCP3	Other	-1.23524651668723	-1.24509251721245	-1.26799852320032	-0.271333815310771	-1.30031222417443	-1.04540555630856	-1.14256675083784
U2AF1	Essential	-1.84059252466501	-1.49529304280626	-1.75872828819436	0.202908743368108	-1.58489930404676	-1.35201648218094	-1.57731335245567
U2AF2	Essential	-1.26542172415732	-1.12812409468096	-1.01448414918837	0.0237982036340813	-0.926605332653527	-0.787757041539172	-0.832376943397938
